JoinField,mean_turnout_1r,std_turnout_1r,cv_turnout_1r,n_cycles_1r,mean_turnout_ro,std_turnout_ro,cv_turnout_ro,n_cycles_ro
CITY OF CHICAGO:Ward 41 Precinct 08,356.515910546731,50.100407089816116,0.14052782949570244,3,375.3420770609121,59.180987191777575,0.15767213645533654,3
CITY OF CHICAGO:Ward 41 Precinct 09,725.2901317719306,93.37186940714345,0.1287372670837668,3,760.7643230748317,142.94630490940105,0.18789827621206717,3
CITY OF CHICAGO:Ward 41 Precinct 10,572.9124907928764,83.84006302139764,0.14634008573520196,3,592.6455083723646,117.17332556390083,0.19771233209158107,3
CITY OF CHICAGO:Ward 41 Precinct 11,432.9370100635328,68.04513935270818,0.15717099201734372,3,438.79154753819574,88.71304446185844,0.2021758280431238,3
CITY OF CHICAGO:Ward 41 Precinct 12,289.79052257723794,32.05006259058354,0.11059734564659972,3,302.91914406243046,59.42740138567352,0.19618238909794938,3
CITY OF CHICAGO:Ward 41 Precinct 13,652.2164007452674,59.43225887594985,0.09112352711161273,3,678.396166481018,113.10279412463132,0.1667208626949044,3
CITY OF CHICAGO:Ward 41 Precinct 14,728.1732041741308,76.81371071030111,0.10548824135518774,3,754.4410654041354,138.7430524928762,0.18390177689831208,3
CITY OF CHICAGO:Ward 41 Precinct 15,902.3888779347866,144.35800565552736,0.1599731658771173,3,951.4273676183694,195.06976186904276,0.20502853765636886,3
CITY OF CHICAGO:Ward 41 Precinct 16,325.0815439494414,47.79444635553171,0.14702294622719334,3,335.1298940552551,54.55826826526542,0.16279737866735947,3
CITY OF CHICAGO:Ward 41 Precinct 17,226.47836603236803,30.805384699778337,0.13601910522162486,3,239.511783998497,46.31987983404899,0.19339290560475997,3
CITY OF CHICAGO:Ward 41 Precinct 18,773.5278325290991,56.883661839402215,0.0735379639196917,3,802.4225188777167,64.1921418563464,0.0799979316957938,3
CITY OF CHICAGO:Ward 41 Precinct 19,365.6666666666667,44.792112400882964,0.12249438213550491,3,382.0,46.357307945997036,0.12135420928271476,3
CITY OF CHICAGO:Ward 41 Precinct 20,400.6666666666667,34.15162270424838,0.08523699510211742,3,421.6666666666667,79.34943814125802,0.1881804857104933,3
CITY OF CHICAGO:Ward 41 Precinct 21,373.3333333333333,35.5715241918776,0.09528086837110072,3,383.6666666666667,87.64321612842224,0.2284358369984941,3
