joinfield,score_generic,score_black,score_latino,se_generic,se_black,se_latino,n_races_generic,n_races_black,n_races_latino,n_labeled_generic,n_labeled_black,n_labeled_latino
CITY OF CHICAGO:WARD 16 PRECINCT 11,-4.0,6.86,-21.43,2.76,4.41,4.24,7,3,3,1598,547,783
CITY OF CHICAGO:WARD 16 PRECINCT 12,5.02,2.52,3.0,4.34,6.84,6.88,7,3,3,695,225,341
CITY OF CHICAGO:WARD 16 PRECINCT 13,2.75,20.65,-18.96,3.55,5.58,5.48,7,3,3,903,327,424
CITY OF CHICAGO:WARD 16 PRECINCT 14,-4.05,4.43,-21.58,2.26,3.63,3.44,7,3,3,2389,787,1193
CITY OF CHICAGO:WARD 16 PRECINCT 15,-2.6,9.08,-18.1,2.46,3.73,3.95,7,3,3,1900,747,841
CITY OF CHICAGO:WARD 16 PRECINCT 16,-6.0,1.23,-18.82,2.89,4.51,4.58,7,3,3,1454,504,685
CITY OF CHICAGO:WARD 16 PRECINCT 17,1.85,10.62,-9.81,2.14,3.32,3.34,7,3,3,2522,962,1154
CITY OF CHICAGO:WARD 16 PRECINCT 18,3.9,10.7,-6.81,2.27,3.51,3.51,7,3,3,2135,841,965
CITY OF CHICAGO:WARD 16 PRECINCT 19,10.03,11.58,8.26,2.55,3.92,3.99,7,3,3,1729,661,792
CITY OF CHICAGO:WARD 16 PRECINCT 20,-2.71,9.84,-21.58,2.45,3.68,3.91,7,3,3,1864,774,798
CITY OF CHICAGO:WARD 16 PRECINCT 21,-4.94,6.86,-22.61,2.89,4.59,4.51,7,3,3,1537,501,753
CITY OF CHICAGO:WARD 16 PRECINCT 22,-0.6,9.77,-13.01,2.49,3.94,3.83,7,3,3,1837,676,861
CITY OF CHICAGO:WARD 16 PRECINCT 23,16.52,20.52,16.81,3.09,4.8,4.69,7,3,3,1166,441,561
CITY OF CHICAGO:WARD 16 PRECINCT 24,-7.91,4.16,-24.07,2.77,4.37,4.34,7,3,3,1657,546,820
CITY OF CHICAGO:WARD 16 PRECINCT 25,-6.18,3.93,-21.78,3.75,5.81,5.88,7,3,3,806,304,366
CITY OF CHICAGO:WARD 17 PRECINCT 01,18.79,9.39,35.19,2.26,3.53,3.47,7,3,3,2241,878,1037
CITY OF CHICAGO:WARD 17 PRECINCT 02,1.18,6.79,-9.45,2.87,4.54,4.44,7,3,3,1429,520,656
CITY OF CHICAGO:WARD 17 PRECINCT 03,-0.92,12.37,-18.76,2.35,3.7,3.63,7,3,3,2007,743,927
CITY OF CHICAGO:WARD 17 PRECINCT 04,-1.93,17.67,-23.27,2.57,4.05,4.01,7,3,3,1775,636,825
CITY OF CHICAGO:WARD 17 PRECINCT 05,-1.28,11.33,-19.13,3.17,5.15,4.81,7,3,3,1222,399,610
CITY OF CHICAGO:WARD 17 PRECINCT 06,0.67,16.19,-17.08,2.57,3.99,4.08,7,3,3,1863,656,888
CITY OF CHICAGO:WARD 17 PRECINCT 07,2.69,14.19,-11.81,3.9,5.94,6.36,7,3,3,837,293,390
CITY OF CHICAGO:WARD 17 PRECINCT 08,6.09,18.14,-11.27,3.15,4.84,4.98,7,3,3,1224,435,596
CITY OF CHICAGO:WARD 17 PRECINCT 09,2.05,13.4,-13.39,2.93,4.65,4.58,7,3,3,1469,485,725
CITY OF CHICAGO:WARD 17 PRECINCT 10,-1.08,7.19,-17.69,2.12,3.23,3.41,7,3,3,2694,1008,1224
CITY OF CHICAGO:WARD 17 PRECINCT 11,-2.67,5.37,-18.01,2.75,4.26,4.31,7,3,3,1594,578,766
CITY OF CHICAGO:WARD 17 PRECINCT 12,1.34,16.74,-18.62,3.41,5.37,5.26,7,3,3,1015,364,484
CITY OF CHICAGO:WARD 17 PRECINCT 13,-9.09,7.72,-30.75,3.22,5.06,5.15,7,3,3,1297,408,639
CITY OF CHICAGO:WARD 17 PRECINCT 14,1.27,15.39,-16.75,3.07,4.81,4.8,7,3,3,1299,459,619
CITY OF CHICAGO:WARD 17 PRECINCT 15,-2.05,8.46,-18.59,1.93,2.92,3.08,7,3,3,3110,1212,1391
CITY OF CHICAGO:WARD 17 PRECINCT 16,-3.44,10.54,-23.38,2.78,4.34,4.36,7,3,3,1560,572,726
CITY OF CHICAGO:WARD 17 PRECINCT 17,-6.07,3.91,-21.02,3.09,4.55,5.13,7,3,3,1238,503,519
CITY OF CHICAGO:WARD 17 PRECINCT 18,-1.29,13.66,-22.2,1.74,2.68,2.73,7,3,3,3692,1428,1652
CITY OF CHICAGO:WARD 17 PRECINCT 19,1.43,14.31,-18.26,2.21,3.48,3.47,7,3,3,2479,862,1163
CITY OF CHICAGO:WARD 17 PRECINCT 20,-0.42,16.18,-22.06,2.16,3.23,3.47,7,3,3,2331,990,965
CITY OF CHICAGO:WARD 17 PRECINCT 21,-2.02,8.62,-19.72,1.94,2.95,3.12,7,3,3,3069,1174,1346
CITY OF CHICAGO:WARD 17 PRECINCT 22,1.98,15.81,-18.3,2.0,3.11,3.15,7,3,3,2866,1066,1296
CITY OF CHICAGO:WARD 17 PRECINCT 23,-10.25,3.86,-31.71,2.51,3.79,4.05,7,3,3,1867,735,803
CITY OF CHICAGO:WARD 17 PRECINCT 24,-2.06,11.24,-21.61,1.94,2.96,3.12,7,3,3,3222,1170,1487
CITY OF CHICAGO:WARD 17 PRECINCT 25,-7.57,7.29,-28.41,2.92,4.45,4.64,7,3,3,1303,523,562
CITY OF CHICAGO:WARD 17 PRECINCT 26,-1.03,15.15,-22.97,2.07,3.18,3.24,7,3,3,2608,1028,1155
CITY OF CHICAGO:WARD 17 PRECINCT 27,-1.1,14.24,-21.91,1.94,3.0,3.06,7,3,3,3058,1151,1399
CITY OF CHICAGO:WARD 17 PRECINCT 28,0.75,15.1,-19.97,1.77,2.74,2.77,7,3,3,3530,1362,1602
CITY OF CHICAGO:WARD 17 PRECINCT 29,5.03,21.26,-16.58,1.89,2.98,2.9,7,3,3,3144,1157,1472
CITY OF CHICAGO:WARD 18 PRECINCT 01,-0.02,16.09,-22.52,1.74,2.65,2.78,7,3,3,3741,1467,1632
CITY OF CHICAGO:WARD 18 PRECINCT 02,-1.64,16.3,-26.85,1.64,2.54,2.57,7,3,3,3983,1589,1736
CITY OF CHICAGO:WARD 18 PRECINCT 03,0.23,16.64,-21.96,2.53,3.89,3.98,7,3,3,1707,675,752
CITY OF CHICAGO:WARD 18 PRECINCT 04,0.18,15.4,-23.4,1.88,2.87,2.96,7,3,3,3071,1247,1333
CITY OF CHICAGO:WARD 18 PRECINCT 05,1.24,17.81,-18.52,2.0,3.11,3.08,7,3,3,2780,1064,1270
CITY OF CHICAGO:WARD 18 PRECINCT 06,2.91,14.83,-14.11,1.55,2.37,2.45,7,3,3,4411,1823,1855
CITY OF CHICAGO:WARD 18 PRECINCT 07,-1.46,12.98,-21.81,1.66,2.55,2.58,7,3,3,3831,1559,1670
CITY OF CHICAGO:WARD 18 PRECINCT 08,2.64,12.54,-12.46,1.44,2.21,2.26,7,3,3,5089,2093,2194
CITY OF CHICAGO:WARD 18 PRECINCT 09,1.78,11.73,-14.12,1.68,2.56,2.65,7,3,3,3757,1560,1598
CITY OF CHICAGO:WARD 18 PRECINCT 10,1.9,10.95,-14.11,1.5,2.26,2.38,7,3,3,4707,2016,1948
CITY OF CHICAGO:WARD 18 PRECINCT 11,-4.62,12.53,-27.0,2.07,3.22,3.23,7,3,3,2632,997,1200
CITY OF CHICAGO:WARD 18 PRECINCT 12,-2.74,14.0,-24.67,1.7,2.58,2.7,7,3,3,3779,1566,1570
CITY OF CHICAGO:WARD 18 PRECINCT 13,-3.27,-1.34,-7.17,1.88,2.96,2.91,7,3,3,3281,1211,1507
CITY OF CHICAGO:WARD 18 PRECINCT 14,0.37,11.96,-13.41,2.09,3.17,3.24,7,3,3,2416,1017,1042
CITY OF CHICAGO:WARD 18 PRECINCT 15,3.77,15.38,-10.12,2.51,3.88,3.95,7,3,3,1835,703,823
CITY OF CHICAGO:WARD 18 PRECINCT 16,1.53,15.83,-14.09,2.03,3.12,3.19,7,3,3,2731,1092,1210
CITY OF CHICAGO:WARD 18 PRECINCT 17,9.82,10.73,5.78,2.33,3.57,3.69,7,3,3,1991,811,844
CITY OF CHICAGO:WARD 18 PRECINCT 18,10.87,5.22,24.85,2.09,3.31,3.19,7,3,3,2667,1003,1244
CITY OF CHICAGO:WARD 18 PRECINCT 19,2.08,8.96,-4.83,2.21,3.32,3.48,7,3,3,2239,958,951
CITY OF CHICAGO:WARD 18 PRECINCT 20,-0.58,-0.77,-0.85,2.23,3.42,3.49,7,3,3,2175,894,945
CITY OF CHICAGO:WARD 18 PRECINCT 21,4.35,13.57,-7.67,1.94,2.96,3.09,7,3,3,2913,1176,1235
CITY OF CHICAGO:WARD 18 PRECINCT 22,-12.23,-22.07,1.11,1.99,3.03,3.17,7,3,3,3031,1261,1273
CITY OF CHICAGO:WARD 18 PRECINCT 23,-8.89,-24.25,12.67,1.87,2.93,2.95,7,3,3,3567,1408,1551
CITY OF CHICAGO:WARD 18 PRECINCT 24,3.94,-5.94,21.19,1.76,2.72,2.76,7,3,3,3644,1486,1592
CITY OF CHICAGO:WARD 18 PRECINCT 25,-1.37,-12.17,19.24,2.49,3.98,3.89,7,3,3,2141,756,992
CITY OF CHICAGO:WARD 18 PRECINCT 26,4.13,-12.02,28.38,1.87,2.88,2.92,7,3,3,3317,1324,1477
CITY OF CHICAGO:WARD 19 PRECINCT 01,-37.01,-55.17,-17.71,1.61,2.42,2.66,7,3,3,4859,2159,1788
CITY OF CHICAGO:WARD 19 PRECINCT 02,-13.84,-9.23,-18.86,1.53,2.26,2.5,7,3,3,4550,2035,1759
CITY OF CHICAGO:WARD 19 PRECINCT 03,-48.76,-77.1,-20.95,2.41,3.79,3.91,7,3,3,3097,1459,1073
CITY OF CHICAGO:WARD 19 PRECINCT 04,-41.82,-66.56,-16.01,2.31,3.57,3.72,7,3,3,2976,1425,1080
CITY OF CHICAGO:WARD 19 PRECINCT 05,-17.19,-19.85,-14.61,1.73,2.49,2.85,7,3,3,3590,1687,1336
CITY OF CHICAGO:WARD 19 PRECINCT 06,-37.66,-64.91,-7.78,2.15,3.26,3.56,7,3,3,3177,1468,1133
CITY OF CHICAGO:WARD 19 PRECINCT 07,-35.0,-50.93,-17.92,1.61,2.44,2.61,7,3,3,4721,2130,1759
CITY OF CHICAGO:WARD 19 PRECINCT 08,-0.95,14.37,-21.19,1.85,2.78,2.95,7,3,3,3135,1332,1312
CITY OF CHICAGO:WARD 19 PRECINCT 09,-0.37,9.62,-16.27,1.91,2.87,3.05,7,3,3,2936,1242,1206
CITY OF CHICAGO:WARD 19 PRECINCT 10,-21.22,-27.09,-17.93,1.78,2.59,2.94,7,3,3,3397,1564,1274
CITY OF CHICAGO:WARD 19 PRECINCT 11,-37.87,-55.75,-19.7,2.44,3.64,4.12,7,3,3,2626,1188,968
CITY OF CHICAGO:WARD 19 PRECINCT 12,-49.6,-75.16,-24.99,1.84,2.92,2.91,7,3,3,4292,1967,1541
CITY OF CHICAGO:WARD 19 PRECINCT 13,9.73,16.19,-1.32,1.85,2.79,2.92,7,3,3,3067,1302,1266
CITY OF CHICAGO:WARD 19 PRECINCT 14,-14.36,-14.37,-17.72,1.58,2.41,2.52,7,3,3,4264,1814,1723
CITY OF CHICAGO:WARD 19 PRECINCT 15,-40.82,-63.11,-17.1,2.6,4.11,4.15,7,3,3,2400,1129,854
CITY OF CHICAGO:WARD 19 PRECINCT 16,-44.26,-65.52,-22.48,2.25,3.43,3.72,7,3,3,2993,1384,1062
CITY OF CHICAGO:WARD 19 PRECINCT 17,-41.46,-58.3,-23.75,2.08,3.18,3.39,7,3,3,3030,1372,1096
CITY OF CHICAGO:WARD 19 PRECINCT 18,-45.37,-73.95,-16.71,2.55,4.01,4.12,7,3,3,2650,1210,951
CITY OF CHICAGO:WARD 19 PRECINCT 19,-13.06,-15.13,-10.92,1.68,2.53,2.68,7,3,3,3753,1656,1485
CITY OF CHICAGO:WARD 19 PRECINCT 20,-1.21,5.01,-11.15,1.92,2.83,3.07,7,3,3,2832,1278,1120
CITY OF CHICAGO:WARD 19 PRECINCT 21,-38.5,-64.88,-9.76,1.83,2.8,3.0,7,3,3,4460,2026,1635
CITY OF CHICAGO:WARD 19 PRECINCT 22,-23.77,-29.86,-17.93,1.75,2.6,2.86,7,3,3,3613,1609,1361
CITY OF CHICAGO:WARD 19 PRECINCT 23,-37.3,-54.4,-18.6,1.96,2.93,3.24,7,3,3,3293,1523,1175
CITY OF CHICAGO:WARD 19 PRECINCT 24,-48.44,-74.79,-22.46,2.45,3.74,4.08,7,3,3,2875,1379,980
CITY OF CHICAGO:WARD 19 PRECINCT 25,-22.35,-23.25,-26.73,1.87,2.75,3.04,7,3,3,3090,1390,1198
CITY OF CHICAGO:WARD 19 PRECINCT 26,-28.25,-36.09,-22.49,1.99,2.94,3.25,7,3,3,2807,1286,1051
CITY OF CHICAGO:WARD 19 PRECINCT 27,2.85,12.14,-9.5,1.54,2.28,2.44,7,3,3,4383,1956,1790
CITY OF CHICAGO:WARD 19 PRECINCT 28,3.01,10.28,-4.46,1.38,2.06,2.21,7,3,3,5543,2417,2212
CITY OF CHICAGO:WARD 19 PRECINCT 29,-35.48,-61.88,-6.41,2.03,3.07,3.34,7,3,3,3518,1674,1224
CITY OF CHICAGO:WARD 19 PRECINCT 30,-40.07,-67.5,-9.67,2.33,3.56,3.86,7,3,3,2969,1407,1029
CITY OF CHICAGO:WARD 19 PRECINCT 31,-17.42,-25.6,-10.52,1.49,2.2,2.42,7,3,3,4943,2234,1899
CITY OF CHICAGO:WARD 19 PRECINCT 32,0.54,4.37,-4.54,1.85,2.76,2.98,7,3,3,3061,1341,1211
CITY OF CHICAGO:WARD 19 PRECINCT 33,-43.6,-67.56,-18.25,2.91,4.41,4.88,7,3,3,2096,995,708
CITY OF CHICAGO:WARD 19 PRECINCT 34,-47.1,-64.22,-30.9,1.46,2.24,2.34,7,3,3,5523,2495,2046
CITY OF CHICAGO:WARD 19 PRECINCT 35,-28.42,-35.53,-21.51,1.75,2.63,2.82,7,3,3,3640,1608,1387
CITY OF CHICAGO:WARD 19 PRECINCT 36,-32.37,-41.02,-26.98,1.9,2.9,3.05,7,3,3,3093,1325,1208
CITY OF CHICAGO:WARD 20 PRECINCT 01,32.02,14.67,65.78,2.87,4.47,4.39,7,3,3,1277,520,560
CITY OF CHICAGO:WARD 20 PRECINCT 02,30.68,21.01,54.38,3.83,6.24,5.77,7,3,3,803,273,384
CITY OF CHICAGO:WARD 20 PRECINCT 03,8.1,7.08,9.38,3.54,5.59,5.43,7,3,3,903,347,403
CITY OF CHICAGO:WARD 20 PRECINCT 04,7.47,25.31,-13.52,4.02,6.19,6.31,7,3,3,705,276,317
CITY OF CHICAGO:WARD 20 PRECINCT 05,-4.11,8.09,-17.49,2.68,4.44,4.02,7,3,3,1775,521,890
CITY OF CHICAGO:WARD 20 PRECINCT 06,-2.23,13.42,-23.71,3.43,5.32,5.41,7,3,3,986,377,440
CITY OF CHICAGO:WARD 20 PRECINCT 07,-0.79,11.3,-22.46,3.0,4.68,4.72,7,3,3,1334,472,631
CITY OF CHICAGO:WARD 20 PRECINCT 08,-1.83,7.46,-17.71,2.78,4.41,4.38,7,3,3,1612,545,753
CITY OF CHICAGO:WARD 20 PRECINCT 09,6.86,18.81,-12.85,2.07,3.17,3.3,7,3,3,2497,1018,1029
CITY OF CHICAGO:WARD 20 PRECINCT 10,6.29,21.94,-15.27,2.11,3.2,3.4,7,3,3,2481,1021,1004
CITY OF CHICAGO:WARD 20 PRECINCT 11,3.8,16.57,-13.22,2.31,3.59,3.68,7,3,3,2197,817,972
CITY OF CHICAGO:WARD 20 PRECINCT 12,-4.77,12.19,-30.82,7.21,9.95,13.24,7,3,3,532,129,276
CITY OF CHICAGO:WARD 20 PRECINCT 13,21.94,32.84,0.74,1.63,2.44,2.62,7,3,3,3967,1707,1563
CITY OF CHICAGO:WARD 20 PRECINCT 14,13.23,27.03,-12.28,1.99,3.12,3.06,7,3,3,2701,1034,1201
CITY OF CHICAGO:WARD 20 PRECINCT 15,8.91,23.3,-10.28,2.27,3.65,3.48,7,3,3,2133,766,968
CITY OF CHICAGO:WARD 20 PRECINCT 16,10.74,20.31,-3.81,2.08,3.17,3.35,7,3,3,2501,1035,997
CITY OF CHICAGO:WARD 20 PRECINCT 17,18.88,28.06,4.37,2.0,3.01,3.22,7,3,3,2632,1131,1051
CITY OF CHICAGO:WARD 20 PRECINCT 18,25.65,35.82,10.87,1.79,2.63,2.94,7,3,3,3300,1517,1220
CITY OF CHICAGO:WARD 20 PRECINCT 19,18.7,33.08,-4.33,2.4,3.52,3.89,7,3,3,1840,827,716
CITY OF CHICAGO:WARD 20 PRECINCT 20,14.97,30.51,-6.05,2.08,2.97,3.43,7,3,3,2405,1160,876
CITY OF CHICAGO:WARD 20 PRECINCT 21,15.32,29.28,-2.87,1.8,2.71,2.91,7,3,3,3298,1388,1329
CITY OF CHICAGO:WARD 20 PRECINCT 22,5.78,18.01,-11.02,1.91,2.95,3.02,7,3,3,3041,1179,1332
CITY OF CHICAGO:WARD 20 PRECINCT 23,-1.62,14.92,-25.7,2.93,4.53,4.62,7,3,3,1320,515,568
CITY OF CHICAGO:WARD 21 PRECINCT 01,-3.15,13.52,-23.63,1.75,2.7,2.72,7,3,3,3533,1404,1566
CITY OF CHICAGO:WARD 21 PRECINCT 02,-3.84,13.75,-27.68,3.12,4.62,5.0,7,3,3,1077,478,432
CITY OF CHICAGO:WARD 21 PRECINCT 03,0.19,15.0,-21.12,1.65,2.57,2.54,7,3,3,3968,1535,1780
CITY OF CHICAGO:WARD 21 PRECINCT 04,0.03,15.39,-21.95,1.87,2.87,2.92,7,3,3,3098,1239,1359
CITY OF CHICAGO:WARD 21 PRECINCT 05,-0.46,12.64,-20.08,1.84,2.8,2.9,7,3,3,3294,1319,1462
CITY OF CHICAGO:WARD 21 PRECINCT 06,-1.46,14.09,-21.61,1.96,3.09,3.04,7,3,3,2995,1072,1399
CITY OF CHICAGO:WARD 21 PRECINCT 07,-0.58,16.11,-20.46,1.63,2.5,2.55,7,3,3,3956,1618,1713
CITY OF CHICAGO:WARD 21 PRECINCT 08,-0.53,11.05,-18.51,1.73,2.68,2.69,7,3,3,3670,1426,1632
CITY OF CHICAGO:WARD 21 PRECINCT 09,7.01,26.24,-16.5,3.23,4.71,5.22,7,3,3,997,458,390
CITY OF CHICAGO:WARD 21 PRECINCT 10,-0.26,16.47,-24.46,1.71,2.63,2.68,7,3,3,3646,1471,1567
CITY OF CHICAGO:WARD 21 PRECINCT 11,-1.69,17.45,-27.93,1.64,2.49,2.57,7,3,3,3995,1657,1698
CITY OF CHICAGO:WARD 21 PRECINCT 12,1.12,14.36,-14.95,2.66,4.23,4.12,7,3,3,1801,596,892
CITY OF CHICAGO:WARD 21 PRECINCT 13,-7.61,12.46,-33.44,2.0,3.1,3.12,7,3,3,2796,1057,1268
CITY OF CHICAGO:WARD 21 PRECINCT 14,2.99,19.52,-21.05,1.56,2.39,2.41,7,3,3,4354,1773,1910
CITY OF CHICAGO:WARD 21 PRECINCT 15,1.4,16.22,-20.62,1.62,2.52,2.51,7,3,3,4220,1614,1907
CITY OF CHICAGO:WARD 21 PRECINCT 16,2.62,21.53,-24.11,1.7,2.61,2.64,7,3,3,3711,1493,1639
CITY OF CHICAGO:WARD 21 PRECINCT 17,-0.74,13.08,-21.84,1.97,3.06,3.03,7,3,3,2728,1083,1211
CITY OF CHICAGO:WARD 21 PRECINCT 18,-1.0,20.49,-29.05,1.7,2.57,2.68,7,3,3,3654,1552,1507
CITY OF CHICAGO:WARD 21 PRECINCT 19,-1.71,14.82,-23.92,1.8,2.78,2.81,7,3,3,3296,1319,1443
CITY OF CHICAGO:WARD 21 PRECINCT 20,1.62,17.89,-19.45,2.03,3.06,3.21,7,3,3,2624,1099,1114
CITY OF CHICAGO:WARD 21 PRECINCT 21,2.47,21.06,-23.29,1.63,2.46,2.56,7,3,3,4017,1680,1718
CITY OF CHICAGO:WARD 21 PRECINCT 22,1.21,16.98,-20.6,1.51,2.33,2.37,7,3,3,4690,1865,2038
CITY OF CHICAGO:WARD 21 PRECINCT 23,-3.25,14.59,-27.07,1.87,2.85,2.94,7,3,3,3195,1266,1436
CITY OF CHICAGO:WARD 21 PRECINCT 24,-3.56,10.97,-23.5,1.95,3.0,3.07,7,3,3,2912,1132,1289
CITY OF CHICAGO:WARD 21 PRECINCT 25,2.37,15.83,-19.29,2.23,3.44,3.48,7,3,3,2288,884,1047
CITY OF CHICAGO:WARD 21 PRECINCT 26,1.28,16.12,-18.49,2.01,3.1,3.15,7,3,3,2686,1067,1171
CITY OF CHICAGO:WARD 21 PRECINCT 27,0.68,15.8,-20.26,1.73,2.66,2.75,7,3,3,3837,1484,1707
CITY OF CHICAGO:WARD 21 PRECINCT 28,0.31,13.76,-22.97,1.77,2.68,2.8,7,3,3,3595,1428,1609
CITY OF CHICAGO:WARD 21 PRECINCT 29,5.86,19.13,-15.0,1.75,2.62,2.8,7,3,3,3608,1481,1559
CITY OF CHICAGO:WARD 22 PRECINCT 01,21.62,29.33,11.7,2.97,4.77,4.52,7,3,3,1343,454,661
CITY OF CHICAGO:WARD 22 PRECINCT 02,36.66,39.91,35.6,3.88,6.11,5.96,7,3,3,764,282,358
CITY OF CHICAGO:WARD 22 PRECINCT 03,51.41,33.79,84.86,2.56,4.0,3.87,7,3,3,1674,661,779
CITY OF CHICAGO:WARD 22 PRECINCT 04,53.58,44.58,84.27,3.11,5.2,4.49,7,3,3,1227,389,639
CITY OF CHICAGO:WARD 22 PRECINCT 05,46.59,33.3,77.39,2.13,3.36,3.2,7,3,3,2453,957,1141
CITY OF CHICAGO:WARD 22 PRECINCT 06,46.1,26.97,81.22,2.92,4.77,4.37,7,3,3,1395,478,677
CITY OF CHICAGO:WARD 22 PRECINCT 07,51.17,38.9,88.05,2.68,4.29,4.0,7,3,3,1555,580,745
CITY OF CHICAGO:WARD 22 PRECINCT 08,47.08,25.97,88.12,2.63,4.34,3.82,7,3,3,1737,575,893
CITY OF CHICAGO:WARD 22 PRECINCT 09,53.87,40.37,88.31,2.5,4.05,3.63,7,3,3,1756,623,878
CITY OF CHICAGO:WARD 22 PRECINCT 10,48.36,32.26,85.82,2.39,3.82,3.57,7,3,3,2004,749,964
CITY OF CHICAGO:WARD 22 PRECINCT 11,47.68,27.56,89.32,2.18,3.41,3.29,7,3,3,2371,930,1100
CITY OF CHICAGO:WARD 22 PRECINCT 12,48.42,28.25,91.34,2.77,4.59,4.07,7,3,3,1600,519,814
CITY OF CHICAGO:WARD 22 PRECINCT 13,46.11,33.09,81.25,2.41,3.79,3.59,7,3,3,1910,753,902
CITY OF CHICAGO:WARD 22 PRECINCT 14,48.23,31.69,86.75,2.6,4.16,3.88,7,3,3,1761,655,851
CITY OF CHICAGO:WARD 22 PRECINCT 15,46.62,27.19,85.4,3.33,5.32,4.99,7,3,3,1081,378,545
CITY OF CHICAGO:WARD 22 PRECINCT 16,6.74,-11.0,34.87,2.34,3.59,3.71,7,3,3,2072,835,900
CITY OF CHICAGO:WARD 22 PRECINCT 17,5.05,17.98,-7.14,3.75,5.85,5.86,7,3,3,849,315,396
CITY OF CHICAGO:WARD 22 PRECINCT 18,6.21,19.59,-9.68,2.51,3.88,3.91,7,3,3,1762,695,775
CITY OF CHICAGO:WARD 22 PRECINCT 19,2.73,-11.41,28.01,2.08,3.15,3.32,7,3,3,2610,1099,1081
CITY OF CHICAGO:WARD 23 PRECINCT 01,-36.04,-61.91,-7.84,2.77,4.22,4.49,7,3,3,1779,756,735
CITY OF CHICAGO:WARD 23 PRECINCT 02,-38.07,-59.42,-16.09,2.15,3.26,3.5,7,3,3,2950,1254,1201
CITY OF CHICAGO:WARD 23 PRECINCT 03,-31.98,-58.63,-0.77,2.72,4.16,4.42,7,3,3,1815,789,708
CITY OF CHICAGO:WARD 23 PRECINCT 04,-34.48,-58.51,-8.61,3.26,4.89,5.38,7,3,3,1266,586,465
CITY OF CHICAGO:WARD 23 PRECINCT 05,-28.98,-55.61,2.07,2.45,3.78,3.98,7,3,3,2344,1019,875
CITY OF CHICAGO:WARD 23 PRECINCT 06,-38.35,-56.7,-19.09,3.06,4.72,4.84,7,3,3,1351,599,538
CITY OF CHICAGO:WARD 23 PRECINCT 07,-24.61,-48.43,5.36,2.63,3.97,4.31,7,3,3,1835,824,668
CITY OF CHICAGO:WARD 23 PRECINCT 08,-25.18,-48.72,3.93,2.72,4.2,4.35,7,3,3,1819,765,752
CITY OF CHICAGO:WARD 23 PRECINCT 09,-23.99,-46.32,3.41,2.1,3.18,3.41,7,3,3,2749,1224,1060
CITY OF CHICAGO:WARD 23 PRECINCT 10,-17.37,-38.73,10.03,2.08,3.17,3.35,7,3,3,2777,1173,1099
CITY OF CHICAGO:WARD 23 PRECINCT 11,0.27,-14.49,24.79,2.96,4.6,4.65,7,3,3,1311,522,567
CITY OF CHICAGO:WARD 23 PRECINCT 12,-9.29,-30.5,18.84,2.65,4.06,4.16,7,3,3,1750,714,775
CITY OF CHICAGO:WARD 23 PRECINCT 13,-3.43,-22.92,25.47,1.97,2.97,3.17,7,3,3,2908,1270,1132
CITY OF CHICAGO:WARD 23 PRECINCT 14,4.29,-17.05,38.5,2.32,3.62,3.62,7,3,3,2262,915,993
CITY OF CHICAGO:WARD 23 PRECINCT 15,3.72,-12.37,31.94,2.21,3.53,3.38,7,3,3,2498,934,1147
CITY OF CHICAGO:WARD 23 PRECINCT 16,21.57,5.68,56.56,3.08,4.75,4.71,7,3,3,1158,490,506
CITY OF CHICAGO:WARD 23 PRECINCT 17,21.93,5.42,55.75,2.59,4.03,3.99,7,3,3,1667,670,744
CITY OF CHICAGO:WARD 23 PRECINCT 18,19.24,-4.57,58.9,2.8,4.36,4.35,7,3,3,1464,593,638
CITY OF CHICAGO:WARD 23 PRECINCT 19,21.3,-2.14,61.15,3.26,5.16,5.1,7,3,3,1153,417,529
CITY OF CHICAGO:WARD 23 PRECINCT 20,25.85,9.48,58.22,3.23,4.94,5.05,7,3,3,1042,441,440
CITY OF CHICAGO:WARD 23 PRECINCT 21,14.67,-4.93,45.06,3.34,5.28,5.2,7,3,3,1089,400,499
CITY OF CHICAGO:WARD 23 PRECINCT 22,14.58,-7.08,49.09,3.16,4.97,4.85,7,3,3,1115,442,496
CITY OF CHICAGO:WARD 23 PRECINCT 23,11.14,-7.79,44.39,3.14,5.08,4.73,7,3,3,1218,442,575
CITY OF CHICAGO:WARD 23 PRECINCT 24,20.78,3.11,55.61,3.25,5.25,4.98,7,3,3,1214,423,582
CITY OF CHICAGO:WARD 23 PRECINCT 25,0.96,-15.65,28.24,3.58,5.73,5.49,7,3,3,990,384,442
CITY OF CHICAGO:WARD 23 PRECINCT 26,10.82,5.83,29.41,3.81,6.02,5.98,7,3,3,877,323,399
CITY OF CHICAGO:WARD 23 PRECINCT 27,22.2,4.74,55.6,3.37,5.58,5.04,7,3,3,1141,359,574
CITY OF CHICAGO:WARD 23 PRECINCT 28,-6.76,-8.95,4.83,2.78,4.6,4.2,7,3,3,1677,526,811
CITY OF CHICAGO:WARD 23 PRECINCT 29,5.31,-5.02,28.32,2.54,4.1,3.87,7,3,3,1772,650,786
CITY OF CHICAGO:WARD 23 PRECINCT 30,7.69,-8.61,37.66,2.92,4.74,4.5,7,3,3,1419,477,652
CITY OF CHICAGO:WARD 23 PRECINCT 31,3.87,-0.8,21.19,2.82,4.7,4.24,7,3,3,1677,518,817
CITY OF CHICAGO:WARD 23 PRECINCT 32,-0.48,-12.32,21.74,3.19,5.08,4.97,7,3,3,1178,442,516
