joinfield,ward,model_leader,actual_leader,correct,precinct_mae,actual_margin,err_Paul Vallas,err_Brandon Johnson,err_Lori Lightfoot,err_Chuy García,err_Willie Wilson,err_Kam Buckner,err_Sophia King,err_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,score_pp
CITY OF CHICAGO:Ward 02 Precinct 05,Ward 2,Paul Vallas,Paul Vallas,True,7.637283958991751,56.513761467889914,8.449281100958295,-9.908256880733946,-9.174311926605505,-7.339449541284404,23.652355282955817,-1.9313117928124315,-0.14420243574262068,-0.4991027108409906,0.0478427470919849,0.0400821163173991,0.6832194550472585,0.2154582145277778,-46.94
CITY OF CHICAGO:Ward 02 Precinct 06,Ward 2,Paul Vallas,Paul Vallas,True,8.838867966348303,44.471445929526126,12.484099515254933,-9.477521263669502,-17.132442284325638,-6.561360874848117,24.524646670976257,-0.17561045115109167,-0.34407719769576245,-0.011185472865128578,0.0401350337584396,0.0378844711177794,0.672543135783946,0.2123030757689422,-48.77
CITY OF CHICAGO:Ward 02 Precinct 07,Ward 2,Paul Vallas,Paul Vallas,True,6.971145821037422,59.945872801082544,5.85752305448225,-8.795669824086604,-9.742895805142084,-6.7658998646820026,22.31006868086746,-1.297687288293131,0.6544395806889498,0.34498247005688987,0.1041009369895505,0.0977917892932141,0.631365513171202,0.1500675844914299,-45.37
CITY OF CHICAGO:Ward 02 Precinct 08,Ward 2,Paul Vallas,Paul Vallas,True,7.161490277158657,58.74363327674024,5.31927453651817,-8.828522920203735,-11.544991511035652,-6.281833616298811,24.373005592877828,-0.2056309185783695,0.15962015749180544,0.57904296426488,0.0082327108544066,0.0290889116855701,0.9154774470100194,0.0472008755652647,-52.96
CITY OF CHICAGO:Ward 02 Precinct 09,Ward 2,Paul Vallas,Paul Vallas,True,7.298810785275291,58.78552971576227,10.946061406763397,-8.914728682170542,-9.689922480620156,-7.751937984496124,19.905309188040146,-0.3326120722802285,-0.6591621529835237,-0.1907523148482024,0.0277063689097982,0.0621856856376372,0.8288182506817565,0.0082456312813396,-47.78
CITY OF CHICAGO:Ward 02 Precinct 10,Ward 2,Paul Vallas,Paul Vallas,True,9.105978690289591,43.648208469055376,28.758496219283238,-11.400651465798045,-14.006514657980457,-8.794788273615636,8.219888633340904,-0.6640863584507866,0.0041781079854561615,-0.9992258058622167,0.0398312398685579,0.0846458384846047,0.7409139533607018,0.0811386810321967,-33.91
CITY OF CHICAGO:Ward 02 Precinct 11,Ward 2,Paul Vallas,Paul Vallas,True,10.097102090424928,39.43355119825708,28.482453601850942,-15.904139433551197,-11.76470588235294,-8.49673202614379,12.43047104359245,-2.9563512908866603,-0.5456223353498968,0.1963411096715566,0.0470879522792824,0.04393590471412,0.707128656863155,0.1890445902457823,-34.9
CITY OF CHICAGO:Ward 02 Precinct 12,Ward 2,Paul Vallas,Paul Vallas,True,9.829812992721212,34.51882845188285,22.885378423610703,-15.86318208967749,-15.481171548117153,-10.669456066945607,12.820660820497071,-0.20194940211863463,0.35117649152854175,-0.3655290992744904,0.1482345683490766,0.0776547911885317,0.6250111758655784,0.1115948105146319,-26.93
CITY OF CHICAGO:Ward 02 Precinct 13,Ward 2,Paul Vallas,Paul Vallas,True,8.596478598922209,49.549549549549546,22.102443353658117,-12.462462462462462,-8.108108108108109,-9.75975975975976,13.54767936721632,-2.250458511340403,-0.2495938548889012,-0.2913233739436109,0.0380269895386543,0.0580402150334067,0.7888501080188992,0.0755694585897035,-39.15
CITY OF CHICAGO:Ward 02 Precinct 14,Ward 2,Paul Vallas,Paul Vallas,True,8.757589817527922,45.232273838630796,24.951000923671817,-13.93643031784841,-8.80195599022005,-9.04645476772616,9.8631908348283,-2.6628881711983574,-0.21457012865800235,-0.5842274060722824,0.0076752127700771,0.1666370038559019,0.6968929127747399,0.121642998325342,-34.5
CITY OF CHICAGO:Ward 02 Precinct 15,Ward 2,Paul Vallas,Paul Vallas,True,7.389312015964116,58.655462184873954,16.681257579330435,-7.73109243697479,-9.915966386554622,-7.899159663865546,14.528769940867614,-0.9768829490668894,-0.632476437952423,-0.7488907331006105,0.0170011086913831,0.0288960397085876,0.9281533419692084,0.0183132766453587,-44.01
CITY OF CHICAGO:Ward 02 Precinct 16,Ward 2,Paul Vallas,Paul Vallas,True,7.4734164433418995,55.167394468704515,12.26741956649331,-8.151382823871907,-11.208151382823871,-6.695778748180495,19.401447853229385,-1.3725625816494178,-0.24992318592637064,-0.44066540456043835,0.0,0.014312233061455,0.8847195475360738,0.0478741384740757,-49.32
CITY OF CHICAGO:Ward 02 Precinct 17,Ward 2,Paul Vallas,Paul Vallas,True,9.261594057412168,45.307068366164536,24.055651208513563,-14.020857473928158,-10.428736964078796,-8.80648899188876,14.292218568558807,-1.5363924445137223,-0.39900950641291266,-0.5533973014026307,0.0,0.0150126481486109,0.8532488547376885,0.0859206213665679,-37.77
CITY OF CHICAGO:Ward 02 Precinct 18,Ward 2,Paul Vallas,Paul Vallas,True,10.60883479911883,31.670281995661608,34.842766057218114,-19.95661605206074,-9.11062906724512,-9.11062906724512,7.160575359788076,-3.025687248185515,0.13950997492671052,-1.5242655662812337,0.0058182843833765,0.078769774966574,0.7458765634058401,0.129911559045655,-28.83
CITY OF CHICAGO:Ward 02 Precinct 19,Ward 2,Paul Vallas,Paul Vallas,True,9.465620801728296,44.87632508833922,29.362006691877664,-13.074204946996467,-8.8339222614841,-13.074204946996467,9.063525188421528,-1.4843567314214177,-0.06155127164569202,-0.7711943749830358,0.006814274811969,0.1540027938069088,0.6400926729170667,0.171324933606966,-35.15
CITY OF CHICAGO:Ward 02 Precinct 20,Ward 2,Paul Vallas,Paul Vallas,True,7.542281955110825,54.177215189873415,16.749528808188764,-12.151898734177214,-7.848101265822785,-7.088607594936709,14.732524523297277,-1.392360626122418,-0.27589763571312653,0.09933645262829938,0.0,0.0474411377811727,0.7990506224611356,0.1535081454068004,-41.26
CITY OF CHICAGO:Ward 02 Precinct 21,Ward 2,Paul Vallas,Paul Vallas,True,9.910363686925418,41.04477611940299,23.78086201859918,-17.16417910447761,-8.208955223880597,-8.208955223880597,17.08689466980608,-2.0779292965753315,-1.1395569647295836,-1.6155769934543733,0.0434146640358635,0.0364444448666564,0.6964630929163061,0.1531450890460995,-36.86
CITY OF CHICAGO:Ward 02 Precinct 22,Ward 2,Paul Vallas,Paul Vallas,True,10.062577434533882,32.55813953488372,21.057166148356238,-17.209302325581397,-11.627906976744185,-10.465116279069768,16.584621762256752,-3.208592676168521,0.22562171861296026,-0.12229158948123489,0.2448804839128503,0.0535651295595849,0.4574479718430517,0.1689549445893123,-29.4
CITY OF CHICAGO:Ward 02 Precinct 23,Ward 2,Paul Vallas,Paul Vallas,True,11.228880355732409,27.032967032967036,33.731500350858866,-19.552702762951718,-16.7032967032967,-8.571428571428571,8.847647978567263,0.3364626222730609,-0.774190534621968,-1.3138133218611279,0.0766667533754018,0.0624947393175895,0.7574125923077932,0.0694306450664633,-23.98
CITY OF CHICAGO:Ward 02 Precinct 24,Ward 2,Paul Vallas,Paul Vallas,True,10.243664973897905,42.080378250591025,31.19532803773587,-15.130023640661939,-11.11111111111111,-9.456264775413711,10.6700751552647,-2.607088837299972,-1.4015915087563278,0.37783672493961723,0.0280090703840752,0.0560946233855825,0.8486239376204744,0.0319945720059232,-35.45
CITY OF CHICAGO:Ward 02 Precinct 25,Ward 2,Paul Vallas,Paul Vallas,True,8.660717783139754,44.5141065830721,25.47653118711436,-16.927899686520377,-7.836990595611286,-7.366771159874608,9.736993037849842,-1.681163140119927,-0.10897162003211999,-0.15042183799550846,0.0509009192216106,0.1159557733636318,0.7263049323685645,0.0626174199353513,-33.89
CITY OF CHICAGO:Ward 03 Precinct 01,Ward 3,Lori Lightfoot,Lori Lightfoot,True,3.406786469781003,7.287449392712547,-7.535375482790451,-7.043948946945336,7.032987140453656,0.5822208642216772,-1.4865509954394007,0.5055895442633449,1.3749006141879294,-1.6927181699462244,0.8525490018877777,0.0576551391733943,0.0364889344097682,0.0264251382361998,7.26
CITY OF CHICAGO:Ward 03 Precinct 02,Ward 3,Lori Lightfoot,Lori Lightfoot,True,2.617006425882426,15.114235500878733,4.6820967316712165,-2.7495896352800724,0.7404190321322557,-4.397611958820212,-5.348913953938261,0.630121991601065,0.2839402321277676,-2.103357871488555,0.834010449313515,0.010446887839366,0.0870574401259261,0.0,0.47
CITY OF CHICAGO:Ward 03 Precinct 03,Ward 3,Paul Vallas,Paul Vallas,True,3.1784390128719364,2.0356234096692125,5.359430553265712,-5.578309043477198,0.8372432823316567,-6.295311962283712,2.314943157384461,-2.287771190056243,0.07069134250851442,-2.6838115716679924,0.4845654843627165,0.0230185741667467,0.3116565595908628,0.1347230016059539,-4.58
