joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,demo_est_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,final_est_Jamal Green,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King,win_prob_Jamal Green,median_pct_Jamal Green,median_votes_Jamal Green
CITY OF CHICAGO:Ward 26 Precinct 20,100.0,0.3101819830733266,0.16825825266576408,0.1357301478783153,0.1861973945020194,0.03113483079216603,0.012914312215775523,0.005449171898415307,0.0,0.07907223584705511,0.29457187282484815,0.5597758688083257,0.026674919680490464,1920.2682,0.3403314904100482,0.1822317443645717,0.14286107132621845,0.1987418953563075,0.03405894832878148,0.023292803607056496,0.014708995107050805,0.006262514551046164,0.99546,0.35051315825104024,35.05131582510403,0.00096,0.18759800642441354,18.759800642441355,0.00014,0.1472035839465399,14.72035839465399,0.00344,0.20440859675226614,20.440859675226612,0.0,0.034987048607512616,3.4987048607512614,0.0,0.023923802124497108,2.392380212449711,0.0,0.015443311061816574,1.5443311061816574,0.0,0.0063908030342064125,0.6390803034206413
CITY OF CHICAGO:Ward 26 Precinct 21,100.0,0.1618400903294246,0.149483241635208,0.11745902907845535,0.3744713873997288,0.037858695887391165,0.007499041792914143,0.0012546069026601514,0.0,0.11455929097375177,0.8190572996275509,0.0604857998889292,0.0,2171.9478,0.1742285038131439,0.16292832618105876,0.1231418529238941,0.4115332383722242,0.04043292527409204,0.016189558786475534,0.008793709602225652,0.005241348097966506,0.0,0.1784422169893201,17.84422169893201,0.0,0.1670756138665843,16.70756138665843,0.0,0.12607080442287266,12.607080442287266,1.0,0.42149821957699257,42.14982195769926,0.0,0.04133569167014239,4.1335691670142385,0.0,0.017157225736030315,1.7157225736030315,0.0,0.009763777353408148,0.9763777353408147,0.0,0.005414210274455001,0.5414210274455001
CITY OF CHICAGO:Ward 26 Precinct 22,100.0,0.18757929339756255,0.14627954822068098,0.12116700579375328,0.3572954600264317,0.029152669055345477,0.006743897684878704,0.0016482188471293728,0.0,0.084760436873854,0.7665032375789463,0.13389723012055663,0.014220810856297556,2257.86,0.20264236066080454,0.1596996105053138,0.12691146172957504,0.3921079097997928,0.031186643923941354,0.015423395325900854,0.009295210249742804,0.0052228708560093755,0.0001,0.20749623856445315,20.749623856445314,0.0,0.16336033130571273,16.336033130571273,0.0,0.12979447879001021,12.979447879001022,0.9999,0.4012012185028907,40.12012185028907,0.0,0.03193684877604087,3.193684877604087,0.0,0.016394750946816777,1.6394750946816776,0.0,0.009609706654991588,0.9609706654991588,0.0,0.005515509184947555,0.5515509184947555
CITY OF CHICAGO:Ward 26 Precinct 23,100.0,0.21166949994314144,0.1551940860974269,0.12648844843400042,0.3168727967420924,0.029853149981729075,0.007677250962659404,0.0021108608647327615,0.0,0.09916169588993447,0.6430981609693427,0.24446083761680423,0.0020260660728437345,2153.3355,0.23077713111943457,0.1689394497222332,0.13260522650641954,0.34583182552624914,0.03234617020836558,0.016573604713166747,0.010040611416155837,0.005375443839056283,0.01414,0.2363310496887956,23.633104968879557,4e-05,0.173117269104776,17.311726910477603,0.0,0.13559377113745202,13.559377113745203,0.98582,0.354704399395767,35.4704399395767,0.0,0.03303198280366455,3.3031982803664555,0.0,0.017434867263648367,1.7434867263648366,0.0,0.010499193898102978,1.0499193898102979,0.0,0.005672081815230058,0.5672081815230058
CITY OF CHICAGO:Ward 26 Precinct 24,100.0,0.17532361315498252,0.14846777158870922,0.10812951344630803,0.3950597423572215,0.01387122855226013,0.007667133083516358,0.0013470908427845466,0.0,0.02474673056312247,0.8490685074413499,0.10825611819011254,0.0,1716.6106,0.1895841516254407,0.16156683735422378,0.11255794455464303,0.43420298972413685,0.014339285234493723,0.016290291561040504,0.008822107355405544,0.005125855641696646,0.0,0.19317425163643825,19.317425163643826,0.0,0.16407701327418933,16.407701327418934,0.0,0.11466187662882404,11.466187662882405,1.0,0.44246241171715195,44.2462411717152,0.0,0.014631599223478913,1.4631599223478913,0.0,0.01706105415195487,1.706105415195487,0.0,0.00959370770185963,0.959370770185963,0.0,0.005446769337392715,0.5446769337392715
CITY OF CHICAGO:Ward 26 Precinct 25,100.0,0.27677546012193915,0.1596029542509346,0.13968567170190255,0.23382430449832797,0.02675624495934223,0.009204188061549344,0.0040172694317863866,0.0,0.04172508244973813,0.42685284941363666,0.4154642149384953,0.058418706882279986,1447.8821,0.30117615698444083,0.17284265372996818,0.14613810611083955,0.25291107807949553,0.029124322454998984,0.019970258568569044,0.013593962356185,0.006732924766583548,0.81658,0.3093262874017799,30.932628740177993,0.0016,0.17735710191372817,17.735710191372817,0.00056,0.1500512033610598,15.005120336105978,0.18126,0.2597755548285773,25.977555482857728,0.0,0.02991765339479857,2.991765339479857,0.0,0.020644857277130283,2.0644857277130284,0.0,0.014319876432690217,1.4319876432690217,0.0,0.006655179773100935,0.6655179773100934
CITY OF CHICAGO:Ward 26 Precinct 26,100.0,0.24390833866300093,0.1562935233582588,0.13895462357183286,0.27509468432977485,0.025798398776876924,0.0074435750627793226,0.002372949263258395,0.0,0.08885314045235727,0.5650309176183971,0.3032252306347661,0.007921499874402552,2324.888,0.26492580266835014,0.1699678823983142,0.14509557539490772,0.3004307021302032,0.02840835565943231,0.016949260522609075,0.010864619646706292,0.005847264630557666,0.2514,0.2715819272087864,27.15819272087864,0.00024,0.1742053131262047,17.420531312620472,0.00024,0.14857414652777673,14.857414652777672,0.74812,0.3076138666230067,30.761386662300673,0.0,0.02931176812985281,2.931176812985281,0.0,0.017650914531162718,1.7650914531162718,0.0,0.010908168361945948,1.090816836194595,0.0,0.005835004604758562,0.5835004604758562
CITY OF CHICAGO:Ward 26 Precinct 27,100.0,0.27907034056726504,0.1688027276823979,0.13569432252598126,0.20429466367101712,0.04292277933714775,0.011707641027538043,0.007373618214435241,0.0,0.10936744733291501,0.360339256858152,0.41622372098202554,0.06786270888776605,2081.6322,0.3033051749201866,0.18228494890325883,0.14333671668780756,0.21966421200686398,0.046972491790841724,0.022548241139539786,0.01725763492083076,0.007120042681751572,0.93974,0.3129881263829386,31.29881263829386,0.00628,0.18851457311897765,18.851457311897764,0.00074,0.14797204633099603,14.797204633099604,0.05324,0.22655218551083256,22.655218551083255,0.0,0.0482613422781093,4.82613422781093,0.0,0.023662178535550714,2.3662178535550713,0.0,0.018159386994777087,1.8159386994777087,0.0,0.00806731051874805,0.8067310518748049
CITY OF CHICAGO:Ward 26 Precinct 28,100.0,0.3180069429528267,0.16635743873708622,0.13396046688286228,0.1768583837699671,0.03524022826403533,0.012021397074994137,0.00742123534401058,0.0,0.035810813230460356,0.25675677410518744,0.5175675349707795,0.061486490640979094,1479.9999,0.34540940040701545,0.17945759077857526,0.14038929438543732,0.18825101816361034,0.03831723745112839,0.024237813642565324,0.018413992746507617,0.008013115476241128,0.99802,0.3570853461612318,35.708534616123174,0.00066,0.18480164011904426,18.480164011904428,0.0,0.14457909335402253,14.457909335402253,0.00132,0.19412807456650494,19.412807456650494,0.0,0.04004832226372574,4.004832226372574,0.0,0.025093823311040188,2.509382331104019,0.0,0.019276006127091655,1.9276006127091656,0.0,0.008311293189742955,0.8311293189742954
CITY OF CHICAGO:Ward 26 Precinct 29,100.0,0.21940594103850136,0.15283431279536716,0.12572300643829667,0.3095151115432236,0.032553779805566715,0.007253470242996773,0.002580471161829959,0.0,0.09472588480222068,0.6263011797362943,0.2550312283136711,0.02220680083275503,2882.0,0.2387630866595704,0.16647144636530123,0.13215042921131412,0.33759680537515646,0.035085730099888184,0.01629454248648523,0.010640484926991177,0.005486937926373888,0.02912,0.24487529810177583,24.487529810177584,2e-05,0.17053741240744785,17.053741240744785,6e-05,0.13538361059235898,13.538361059235898,0.9708,0.34619985721775826,34.61998572177583,0.0,0.036046522874188365,3.6046522874188365,0.0,0.016752242883412274,1.6752242883412274,0.0,0.011070329051253006,1.1070329051253005,0.0,0.005474886583400093,0.5474886583400093
