joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King
CITY OF CHICAGO:Ward 44 Precinct 03,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03202,0.2206081479248702,22.060814792487022,0.0,0.04879378177448602,4.879378177448602,0.00436,0.18260389202590743,18.260389202590744,0.96326,0.3211833663242344,32.118336632423436,0.00036,0.1475910226199968,14.75910226199968,0.0,0.03323496678141216,3.323496678141216,0.0,0.036704209121404915,3.6704209121404916
CITY OF CHICAGO:Ward 44 Precinct 04,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03384,0.22130021359721302,22.1300213597213,0.0,0.0489104423537841,4.89104423537841,0.00428,0.18296408529823127,18.296408529823125,0.96128,0.3211691495636235,32.11691495636235,0.0006,0.147476432739525,14.747643273952498,0.0,0.03336716238986297,3.3367162389862965,0.0,0.036581986154507626,3.6581986154507624
CITY OF CHICAGO:Ward 44 Precinct 05,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03328,0.22148688043632753,22.148688043632752,0.0,0.04857775676442479,4.857775676442479,0.00448,0.18258129656420724,18.258129656420724,0.96176,0.321404323399001,32.1404323399001,0.00048,0.1474878449648251,14.748784496482509,0.0,0.03331584204577914,3.331584204577914,0.0,0.03695883944857311,3.695883944857311
CITY OF CHICAGO:Ward 44 Precinct 06,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03316,0.22084251088154422,22.08425108815442,0.0,0.04848288603026492,4.848288603026492,0.00438,0.18307033693264121,18.30703369326412,0.96206,0.3210918538030655,32.10918538030655,0.0004,0.14781034181522323,14.781034181522323,0.0,0.03318667929481969,3.318667929481969,0.0,0.0370678064235572,3.70678064235572
CITY OF CHICAGO:Ward 44 Precinct 07,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03166,0.22104118404046308,22.104118404046307,0.0,0.049019773388848,4.9019773388848,0.00452,0.18220970568770842,18.22097056877084,0.96322,0.3212285042272103,32.12285042272103,0.0006,0.14745142207490053,14.745142207490053,0.0,0.03332911809392164,3.332911809392164,0.0,0.03696131483767582,3.696131483767582
CITY OF CHICAGO:Ward 44 Precinct 08,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03338,0.2211044057793503,22.11044057793503,0.0,0.04869055533853307,4.869055533853308,0.00432,0.18273742278609761,18.27374227860976,0.96194,0.3209203206451182,32.09203206451182,0.00036,0.14756411501298156,14.756411501298155,0.0,0.033306314543566404,3.33063145435664,0.0,0.03730714341823535,3.730714341823535
CITY OF CHICAGO:Ward 44 Precinct 09,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03276,0.2213247502690914,22.13247502690914,0.0,0.04889542061276153,4.889542061276153,0.00432,0.18275719267114393,18.275719267114393,0.96238,0.32090230748208104,32.09023074820811,0.00054,0.14757202929436491,14.757202929436492,0.0,0.03353064261682935,3.353064261682935,0.0,0.036581395525682875,3.6581395525682874
CITY OF CHICAGO:Ward 44 Precinct 10,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03384,0.2212881593473143,22.12881593473143,0.0,0.04828609010833637,4.828609010833637,0.00436,0.18255832986310225,18.255832986310224,0.96128,0.3211047388597072,32.11047388597072,0.00052,0.14766503997725713,14.766503997725714,0.0,0.03295050826976949,3.295050826976949,0.0,0.036960349611258415,3.6960349611258416
CITY OF CHICAGO:Ward 44 Precinct 11,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03266,0.2212158434233972,22.12158434233972,0.0,0.04868037209257409,4.868037209257409,0.00454,0.18261005139576625,18.261005139576625,0.96226,0.32110834189189563,32.11083418918956,0.00054,0.1474480699907299,14.74480699907299,0.0,0.033265674716448417,3.3265674716448417,0.0,0.037032250856301185,3.7032250856301188
CITY OF CHICAGO:Ward 44 Precinct 12,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.0326,0.22110868930233585,22.110868930233586,0.0,0.04878235283638874,4.878235283638873,0.0044,0.18276272187121761,18.276272187121762,0.9624,0.32108136790735653,32.10813679073566,0.0006,0.1473182218531932,14.73182218531932,0.0,0.03357162734689163,3.3571627346891635,0.0,0.036666936888951035,3.6666936888951036
