JoinField,jurisdiction,township,total_votes,pred_Fine,pred_Biss,pred_Abughazaleh,pred_Simmons,pred_Amiwala,pred_Andrew,pred_Huynh,actual_Fine,actual_Biss,actual_Abughazaleh,actual_Simmons,actual_Amiwala,actual_Andrew,actual_Huynh,err_Fine,err_Biss,err_Abughazaleh,err_Simmons,err_Amiwala,err_Andrew,err_Huynh
CITY OF CHICAGO:Ward 50 Precinct 21,CITY OF CHICAGO,,294.0,15.144619449356702,26.914503463663184,26.02174784641309,11.294200460652444,10.123350664842558,7.960862188547189,1.47549065680549,13.60544217687075,18.027210884353742,41.83673469387755,6.462585034013606,18.027210884353742,1.7006802721088436,0.3401360544217687,1.5391772724859525,8.887292579309442,-15.814986847464464,4.831615426638838,-7.903860219511184,6.260181916438345,1.1353546023837213
CITY OF CHICAGO:Ward 50 Precinct 23,CITY OF CHICAGO,,272.0,17.946762820697867,25.89994497513893,24.678128996875685,10.186574440162032,9.86430686663441,9.060835225470749,1.2982214053010122,32.720588235294116,20.22058823529412,25.36764705882353,5.147058823529411,8.088235294117647,4.044117647058823,4.411764705882353,-14.77382541459625,5.67935673984481,-0.6895180619478438,5.03951561663262,1.7760715725167628,5.016717578411925,-3.113543300581341
CITY OF CHICAGO:Ward 50 Precinct 26,CITY OF CHICAGO,,139.0,18.500464229390865,26.89198549611528,22.5066571357134,9.674719166125753,9.750430537049002,10.439933768961945,1.170584396924414,39.568345323741006,15.827338129496402,20.14388489208633,7.913669064748201,6.474820143884892,2.158273381294964,7.913669064748201,-21.067881094350142,11.064647366618876,2.36277224362707,1.7610501013775517,3.2756103931641105,8.281660387666982,-6.743084667823787
CITY OF CHICAGO:Ward 40 Precinct 01,CITY OF CHICAGO,,378.0,18.54280790679391,33.69077673810237,20.735469298589173,9.295809548390046,5.390063759023965,9.84366126809483,1.436186211286362,13.492063492063492,31.48148148148148,24.074074074074073,10.846560846560847,7.936507936507936,10.052910052910052,2.1164021164021163,5.050744414730419,2.2092952566208908,-3.3386047754848995,-1.5507512981708,-2.546444177483971,-0.20924878481522136,-0.6802159051157544
CITY OF CHICAGO:Ward 40 Precinct 07,CITY OF CHICAGO,,418.0,14.04830958091542,26.490390584159,28.2790826242757,15.799753189641097,7.729880281947727,3.767953016026061,2.8194054533156754,10.76555023923445,28.22966507177033,31.818181818181817,16.985645933014354,7.894736842105263,1.674641148325359,2.631578947368421,3.28275934168097,-1.739274487611329,-3.539099193906118,-1.1858927433732571,-0.1648565601575358,2.093311867700702,0.18782650594725459
CITY OF CHICAGO:Ward 40 Precinct 10,CITY OF CHICAGO,,809.0,15.103117451482284,26.83661548047367,26.209889128524804,11.338625153467165,10.118907421780808,7.839766900945365,1.4878531936065649,8.281829419035846,30.655129789864027,36.46477132262052,14.215080346106305,6.9221260815822,2.1013597033374536,1.3597033374536465,6.8212880324464376,-3.8185143093903555,-10.254882194095718,-2.87645519263914,3.1967813401986076,5.738407197607912,0.1281498561529184
CITY OF CHICAGO:Ward 40 Precinct 14,CITY OF CHICAGO,,759.0,13.813776239741005,26.189129135286983,29.042167382206767,16.327069921657422,7.544430019702753,3.0384127334912665,2.979789298194472,7.905138339920949,20.685111989459813,45.98155467720685,11.989459815546773,6.851119894598155,1.4492753623188406,5.138339920948617,5.9086378998200555,5.50401714582717,-16.939387295000085,4.337610106110649,0.6933101251045981,1.589137371172426,-2.158550622754145
CITY OF CHICAGO:Ward 40 Precinct 21,CITY OF CHICAGO,,559.0,13.8137136025604,26.18892835309975,29.04231942565464,16.326735473346787,7.544720623248606,3.038560374988699,2.9797968773817813,5.903398926654741,25.044722719141323,43.112701252236135,9.481216457960643,8.94454382826476,3.041144901610018,4.47227191413238,7.910314675905659,1.1442056339584283,-14.070381826581496,6.845519015386143,-1.399823205016153,-0.0025845266213186946,-1.4924750367505983
CITY OF CHICAGO:Ward 46 Precinct 11,CITY OF CHICAGO,,625.0,13.81301600581346,26.18786222829455,29.041602347809334,16.3295773203822,7.545941517175501,3.037366459473073,2.979408851332575,9.44,19.36,46.400000000000006,11.84,6.08,1.1199999999999999,5.76,4.37301600581346,6.827862228294549,-17.35839765219067,4.4895773203822,1.4659415171755006,1.917366459473073,-2.780591148667425
CITY OF CHICAGO:Ward 46 Precinct 13,CITY OF CHICAGO,,740.0,13.813791376491032,26.1894352595821,29.04159993622186,16.32859653305376,7.543916016522106,3.037752159081476,2.979683449328335,6.486486486486487,20.54054054054054,51.486486486486484,11.756756756756758,5.9459459459459465,0.5405405405405406,3.2432432432432434,7.327304890004545,5.648894719041561,-22.444886550264624,4.571839776297001,1.5979700705761593,2.497211618540936,-0.26355979391490836
CITY OF CHICAGO:Ward 46 Precinct 14,CITY OF CHICAGO,,324.0,13.81337565505014,26.18882143079604,29.0411282884766,16.330410818144884,7.544606530538601,3.036988481859233,2.9794435254151783,13.271604938271606,20.98765432098765,38.2716049382716,16.049382716049383,6.481481481481481,0.30864197530864196,4.62962962962963,0.5417707167785331,5.201167109808388,-9.230476649795001,0.281028102095501,1.0631250490571205,2.728346506550591,-1.6501861042144514
CITY OF CHICAGO:Ward 46 Precinct 16,CITY OF CHICAGO,,632.0,14.109569245806956,26.768093043233943,27.80256921225679,16.070742030785045,7.466713021259542,3.804123739671207,2.912964437267187,5.69620253164557,18.037974683544302,50.79113924050633,12.341772151898734,7.9113924050632916,1.740506329113924,3.481012658227848,8.413366714161386,8.73011835968964,-22.988570028249544,3.7289698788863106,-0.4446793838037495,2.063617410557283,-0.568048220960661
CITY OF CHICAGO:Ward 46 Precinct 19,CITY OF CHICAGO,,602.0,13.958339931070462,26.47246833723724,28.43141276413984,16.2048538514986,7.507853911497964,3.4134561026873533,2.946389832149241,4.485049833887043,20.09966777408638,46.51162790697674,17.940199335548172,4.817275747508306,0.9966777408637874,5.149501661129568,9.473290097183419,6.372800563150857,-18.080215142836902,-1.7353454840495708,2.6905781639896578,2.416778361823566,-2.203111828980327
CITY OF CHICAGO:Ward 46 Precinct 22,CITY OF CHICAGO,,403.0,13.993527998514262,26.5418406040024,28.285469598098384,16.176674222666172,7.496446930401547,3.5022180262183538,2.938597350379541,11.166253101736972,19.106699751861044,34.24317617866005,24.56575682382134,5.2109181141439205,0.7444168734491315,4.962779156327544,2.82727489677729,7.435140852141355,-5.957706580561666,-8.389082601155167,2.285528816257626,2.7578011527692223,-2.024181805948003
CITY OF CHICAGO:Ward 46 Precinct 23,CITY OF CHICAGO,,396.0,14.0227875315197,26.59772515086341,28.1590872440998,16.144744965996075,7.494551998122512,3.584260249245436,2.9316175904337296,6.565656565656567,20.2020202020202,41.41414141414141,15.656565656565657,4.545454545454546,1.2626262626262625,10.353535353535353,7.457130965863134,6.3957049488432105,-13.25505417004161,0.4881793094304179,2.9490974526679663,2.3216339866191733,-7.421917763101623
CITY OF CHICAGO:Ward 47 Precinct 03,CITY OF CHICAGO,,249.0,13.81374081763942,26.188955360327032,29.04237744798471,16.326542748298454,7.544698118636811,3.038642332886265,2.9798179045079745,8.835341365461847,24.096385542168676,42.168674698795186,13.253012048192772,5.220883534136546,1.6064257028112447,4.819277108433735,4.978399452177573,2.0925698181583563,-13.126297250810477,3.0735307001056817,2.3238145845002647,1.4322166300750203,-1.839459203925761
CITY OF CHICAGO:Ward 47 Precinct 04,CITY OF CHICAGO,,696.0,13.944331359132232,26.4445616784264,28.49702627943156,16.21316848171739,7.509342628304525,3.375763676400814,2.950580626867762,8.908045977011495,21.982758620689655,42.5287356321839,11.637931034482758,7.614942528735632,2.1551724137931036,5.172413793103448,5.036285382120736,4.461803057736745,-14.031709352752344,4.575237447234631,-0.10559990043110723,1.2205912626077104,-2.2218331662356863
